function,file,project
getInstalledApplications,snapmatic-life/app/src/main/java/com/tafayor/selfcamerashot/taflib/helpers/PackageHelper.java,snapmatic-life
getInstalledPackages,snapmatic-life/app/src/main/java/com/tafayor/selfcamerashot/taflib/helpers/PackageHelper.java,snapmatic-life
getInstalledApplications,secureme/app/src/main/java/edu/berkeley/rescomp/secureme/checklist/SecurityChecklist.java,secureme
getInstalledPackages,lifx-tasker/src/main/java/com/twofortyfouram/locale/PackageUtilities.java,lifx-tasker
getInstalledApplications,openfit/app/src/main/java/com/solderbyte/openfit/ApplicationManager.java,openfit
getInstalledApplications,apps2fire/app/src/main/java/mobi/koni/appstofiretv/LocalAppsListFragment.java,apps2fire
getInstalledApplications,htcdotbreaker/app/src/main/java/com/htc/dotbreaker/utils/DotBreakerUtils.java,htcdotbreaker
getInstalledPackages,retribution/app/src/main/java/com/nbehary/retribution/IconPackPreviewLoader.java,retribution
getInstalledApplications,ultrasonic/ultrasonic/src/main/java/org/moire/ultrasonic/util/Util.java,ultrasonic
getInstalledApplications,dashnotifier/src/com/umang/dashnotifier/AppListFragment.java,dashnotifier
getInstalledPackages,activities/app/src/main/java/com/cunnj/activities/AllTasksListAdapter.java,activities
getInstalledApplications,bibsearch/com.google.zxing.client.android.CaptureActivity/src/com/google/zxing/client/android/share/LoadPackagesAsyncTask.java,bibsearch
getInstalledApplications,voicenotify/app/src/main/java/com/pilot51/voicenotify/AppListActivity.java,voicenotify
getInstalledApplications,performance-tweaker/app/src/main/java/com/asksven/android/common/kernelutils/ProcessStatsDumpsys.java,performance-tweaker
getInstalledPackages,performance-tweaker/app/src/main/java/com/asksven/android/common/kernelutils/ProcessStatsDumpsys.java,performance-tweaker
getInstalledApplications,appplus/library/src/main/java/hotchemi/android/rate/UriHelper.java,appplus
getInstalledPackages,appplus/app/src/main/java/com/gudong/appkit/dao/AppInfoEngine.java,appplus
getInstalledPackages,bladedroid/workspace/BladeManager/src/edu/uw/bladedroid/blademanager/MainActivity.java,bladedroid
getInstalledPackages,activitylauncher/ActivityLauncherApp/src/main/java/de/szalkowski/activitylauncher/AllTasksListAdapter.java,activitylauncher
getInstalledPackages,activitylauncher/ActivityLauncherApp/src/main/java/de/szalkowski/activitylauncher/IconListAdapter.java,activitylauncher
getInstalledPackages,livingstone/app/src/test/java/com/livingstoneapp/presenters/PackageListActivityPresenterImplTest.java,livingstone
getInstalledPackages,livingstone/app/src/main/java/com/livingstoneapp/presenters/PackageListActivityPresenterImpl.java,livingstone
getInstalledPackages,livingstone/app/src/main/java/com/livingstoneapp/interactors/IPackageInteractor.java,livingstone
getInstalledApplications,livingstone/app/src/main/java/com/livingstoneapp/interactors/PackageInteractorImpl.java,livingstone
getInstalledPackages,livingstone/app/src/main/java/com/livingstoneapp/interactors/PackageInteractorImpl.java,livingstone
getInstalledPackages,app-monitor/app/src/main/java/com/cs442project/appmonitor/TopActivityReceiver.java,app-monitor
getInstalledPackages,app-monitor/app/src/main/java/com/cs442project/appmonitor/ServiceBase.java,app-monitor
getInstalledApplications,app-monitor/app/src/main/java/com/cs442project/appmonitor/AppLoading/ProcessInfo.java,app-monitor
getInstalledPackages,remotekeyboard/src/de/onyxbits/remotekeyboard/ListTask.java,remotekeyboard
getInstalledApplications,forty/app/src/main/java/me/drori/forty/MainActivity.java,forty
getInstalledApplications,irdb-android/tihir/src/main/java/com/tih/tihir/ConsumerIrManagerCompat.java,irdb-android
getInstalledApplications,appfloater/AppFloater/src/main/java/tt/co/justins/appfloater/MainActivity.java,appfloater
getInstalledPackages,appfloater/AppFloater/src/main/java/tt/co/justins/appfloater/MainActivity.java,appfloater
getInstalledApplications,semdroid/semdroid-android/src/main/java/com/oprisnik/semdroid/AppListFragment.java,semdroid
getInstalledApplications,botifier/src/com/github/grimpy/botifier/preference/ApplicationFilterFragment.java,botifier
getInstalledApplications,informant-droid/Components/xamandroidsupportv13-18-13.18.1/lib/android/18/content/support/samples/Support4Demos/src/com/example/android/supportv4/app/LoaderCustomSupport.java,informant-droid
getInstalledApplications,glownotifier/GlowNotifierApp/src/main/java/com/hybdms/glownotifier/Utilities.java,glownotifier
getInstalledApplications,apppermissionsscan/src/kr/pe/devsunset/aps/FragmentPermission.java,apppermissionsscan
getInstalledApplications,apppermissionsscan/src/kr/pe/devsunset/aps/MainActivity.java,apppermissionsscan
getInstalledApplications,apppermissionsscan/src/kr/pe/devsunset/aps/FragmentSystem.java,apppermissionsscan
getInstalledApplications,apppermissionsscan/src/kr/pe/devsunset/aps/FragmentDownload.java,apppermissionsscan
getInstalledApplications,notification-blocker/app/src/main/java/com/redinput/notifblock/MainActivity.java,notification-blocker
getInstalledPackages,smscodehelper/localeapi/demo/display/locale-api/src/com/twofortyfouram/locale/PackageUtilities.java,smscodehelper
getInstalledPackages,smscodehelper/localeapi/demo/toast/locale-api/src/com/twofortyfouram/locale/PackageUtilities.java,smscodehelper
getInstalledPackages,smscodehelper/localeapi/src/main/java/com/twofortyfouram/locale/PackageUtilities.java,smscodehelper
getInstalledApplications,dreamy/app/src/main/java/de/dreamy/system/SystemProperties.java,dreamy
getInstalledApplications,notify_me/notifyApp/src/main/java/com/anandbibek/notifyme/AppPicker.java,notify_me
getInstalledApplications,neodash/dashclock-api/src/main/java/com/google/android/apps/dashclock/api/host/DashClockHost.java,neodash
getInstalledApplications,android_app_disabler/src/com/nebkat/appdisabler/MainActivity.java,android_app_disabler
getInstalledApplications,slimsocial-for-facebook/SlimFacebook/app/src/main/java/it/rignanese/leo/slimfacebook/utility/MyAdvancedWebView.java,slimsocial-for-facebook
getInstalledPackages,showmyrecentapps/src/com/qidu/lin/showRecentApps/bg/appInfo/AppInfoManager.java,showmyrecentapps
getInstalledApplications,ilocker/src/com/qc4w/ilocker/util/AppUtils.java,ilocker
getInstalledApplications,kidsm_for_android/JakeWharton-ActionBarSherlock-4.3.1-0-gc0d437c/JakeWharton-ActionBarSherlock-071a61c/actionbarsherlock-samples/fragments/src/com/actionbarsherlock/sample/fragments/LoaderCustomSupport.java,kidsm_for_android
getInstalledPackages,cgeo/main/src/cgeo/geocaching/utils/ProcessUtils.java,cgeo
getInstalledApplications,materialscrollbar/app/src/main/java/com/turingtechnologies/materialscrollbardemo/AppData.java,materialscrollbar
getInstalledPackages,devbricks/src/main/java/com/dailystudio/nativelib/application/AndroidApplication.java,devbricks
getInstalledApplications,panicbutton/src/main/java/org/iilab/pb/fragment/WizardTestDisguiseOpenFragment.java,panicbutton
getInstalledApplications,android-demos/Sandbox/app/src/main/java/novoda/com/sandbox/MainActivity.java,android-demos
getInstalledPackages,ikasesteka/Ikasesteka/cocos2d/plugin/plugins/alipay/proj.android/src/org/cocos2dx/plugin/MobileSecurePayHelper.java,ikasesteka
getInstalledPackages,batphone/app/src/main/java/org/servalproject/RequestThread.java,batphone
getInstalledApplications,android-testdpc/app/src/main/java/com/afwsamples/testdpc/policy/PolicyManagementFragment.java,android-testdpc
getInstalledApplications,android-testdpc/app/src/main/java/com/afwsamples/testdpc/common/ManageAppFragment.java,android-testdpc
getInstalledApplications,android-testdpc/app/src/main/java/com/afwsamples/testdpc/common/SelectAppFragment.java,android-testdpc
getInstalledPackages,android-secretcodes/app/src/main/java/fr/simon/marquis/secretcodes/Crawler.java,android-secretcodes
getInstalledApplications,android-preferencesmanager/PreferencesManager/src/main/java/fr/simon/marquis/preferencesmanager/util/Utils.java,android-preferencesmanager
getInstalledPackages,trime/app/src/main/java/com/osfans/trime/Function.java,trime
getInstalledPackages,appopsx/opsxpro/src/main/java/com/zzzmode/appopsx/ApiSupporter.java,appopsx
getInstalledPackages,appopsx/apicompat/src/main/java/android/content/pm/IPackageManager.java,appopsx
getInstalledPackages,appopsx/app/src/main/java/com/zzzmode/appopsx/ui/core/Helper.java,appopsx
getInstalledPackages,huenotifier/app/src/main/java/de/j4velin/huenotifier/AppPicker.java,huenotifier
getInstalledApplications,sixgrid/src/io/pure/sixgrid/preference/CustomizeGrid.java,sixgrid
getInstalledPackages,xposedmenubegone/src/ro/epb/menubegone/settings/AppListAdapter.java,xposedmenubegone
getInstalledPackages,afortune/src/eu/kreijack/afortune/AFortuneDB.java,afortune
getInstalledPackages,myobject/MyApplication/master/src/main/java/com/ds/master/utils/AppInfoUtils.java,myobject
getInstalledApplications,portknocker/app/src/main/java/com/xargsgrep/portknocker/asynctask/RetrieveApplicationsAsyncTask.java,portknocker
getInstalledApplications,zxing/android/app/src/main/java/com/coact/kochzap/share/LoadPackagesAsyncTask.java,zxing
getInstalledPackages,nanoiconpack/nanoiconpack/src/main/java/com/by_syk/lib/nanoiconpack/util/PkgUtil.java,nanoiconpack
getInstalledPackages,tryandremove/app/src/debug/java/de/poeschl/apps/tryandremove/data/MockPackageList.java,tryandremove
getInstalledApplications,tryandremove/app/src/debug/java/de/poeschl/apps/tryandremove/utils/MockPackageManager.java,tryandremove
getInstalledPackages,tryandremove/app/src/debug/java/de/poeschl/apps/tryandremove/utils/MockPackageManager.java,tryandremove
getInstalledApplications,network-traffic-monitor/app/src/main/java/com/whitfield/james/simplenetworkspeedmonitor/manager/ApplicationTrafficMonitorFragment.java,network-traffic-monitor
getInstalledApplications,android-app-recommendation/app/src/main/java/br/com/kosawalabs/apprecommendation/service/UploadMyAppsIService.java,android-app-recommendation
getInstalledApplications,walmartbuddy/src/libraries/zxing-android/src/main/java/com/google/zxing/client/android/share/LoadPackagesAsyncTask.java,walmartbuddy
getInstalledPackages,kcanotify/app/src/main/java/eu/faircode/netguard/Rule.java,kcanotify
getInstalledPackages,kcanotify/app/src/main/java/com/antest1/kcanotify/KcaPackageListViewAdpater.java,kcanotify
getInstalledApplications,listlauncher/app/src/main/java/com/amagital/launcher/list/AppLoader.java,listlauncher
getInstalledPackages,forcedoze/app/src/main/java/com/suyashsrijan/forcedoze/ForceDozeService.java,forcedoze
getInstalledApplications,forcedoze/app/src/main/java/com/suyashsrijan/forcedoze/Utils.java,forcedoze
getInstalledPackages,fitnotifications/app/src/main/java/com/abhijitvalluri/android/fitnotifications/AppChoicesActivity.java,fitnotifications
getInstalledApplications,fitnotifications/app/src/main/java/com/abhijitvalluri/android/fitnotifications/utils/Func.java,fitnotifications
getInstalledPackages,fitnotifications/app/src/main/java/com/abhijitvalluri/android/fitnotifications/utils/Func.java,fitnotifications
getInstalledPackages,quicklic_floatinglauncher/Quicklic/src/quicklic/quicklic/favorite/ApkListActivity.java,quicklic_floatinglauncher
getInstalledPackages,cor-engine/projects/cor_lib_test_main/cocos2d/plugin/plugins/alipay/proj.android/src/org/cocos2dx/plugin/MobileSecurePayHelper.java,cor-engine
getInstalledPackages,cor-engine/projects/cor_lib_test_main_v_3_6/cocos2d/plugin/plugins/alipay/proj.android/src/org/cocos2dx/plugin/MobileSecurePayHelper.java,cor-engine
getInstalledApplications,toaster/app/src/main/java/org/mars3142/android/toaster/loader/PackageLoader.java,toaster
getInstalledApplications,networklog/ActionBarSherlock/samples/fragments/src/com/actionbarsherlock/sample/fragments/LoaderCustomSupport.java,networklog
getInstalledApplications,networklog/src/com/googlecode/networklog/ApplicationsTracker.java,networklog
getInstalledPackages,powerswitch_android/LocaleApi/src/main/java/com/twofortyfouram/locale/PackageUtilities.java,powerswitch_android
getInstalledPackages,apde/APDE/src/main/java/com/calsignlabs/apde/tool/UninstallSketch.java,apde
getInstalledApplications,owasp-seraphimdroid/Resources/src/org/owasp/seraphimdroid/PermissionScannerFragment.java,owasp-seraphimdroid
getInstalledPackages,owasp-seraphimdroid/Resources/src/org/owasp/seraphimdroid/AppLockFragment.java,owasp-seraphimdroid
getInstalledApplications,owasp-seraphimdroid/Seraphimdroid/app/src/main/java/org/owasp/seraphimdroid/PermissionScannerFragment.java,owasp-seraphimdroid
getInstalledPackages,owasp-seraphimdroid/Seraphimdroid/app/src/main/java/org/owasp/seraphimdroid/AppLockFragment.java,owasp-seraphimdroid
getInstalledApplications,alwaysondisplayamoled/app/src/main/java/com/tomer/alwayson/SettingsFragment.java,alwaysondisplayamoled
getInstalledApplications,alwaysondisplayamoled/app/src/main/java/com/tomer/alwayson/helpers/Utils.java,alwaysondisplayamoled
getInstalledApplications,norootscriptdroid/app/src/main/java/org/autojs/autojs/ui/shortcut/ShortcutIconSelectActivity.java,norootscriptdroid
getInstalledApplications,norootscriptdroid/autojs/src/main/java/com/stardust/autojs/runtime/api/AppUtils.java,norootscriptdroid
getInstalledApplications,datfm/src/com/zlab/datFM/datFM_IO_Fetch.java,datfm
getInstalledPackages,tasquid/astrid/src/com/todoroo/astrid/service/StartupService.java,tasquid
getInstalledApplications,tasquid/actionbarsherlock/samples/fragments/src/com/actionbarsherlock/sample/fragments/LoaderCustomSupport.java,tasquid
getInstalledApplications,assist-me/app/src/main/java/com/pin/assistme/Main1.java,assist-me
getInstalledPackages,assist-me/floatingMenu/src/main/java/fr/anthonyfernandez/floatingmenu/Manager/RetrievePackages.java,assist-me
getInstalledPackages,assist-me/floatingMenu/src/main/java/fr/anthonyfernandez/floatingmenu/Service/ServiceFloating.java,assist-me
getInstalledPackages,devicecontrol/app/src/main/java/org/namelessrom/devicecontrol/modules/appmanager/BaseAppListFragment.java,devicecontrol
getInstalledPackages,ctrlvkeyboard/app/src/main/java/com/twofortyfouram/locale/PackageUtilities.java,ctrlvkeyboard
getInstalledApplications,open-android/OpenAndroid/src/main/java/com/nickstephen/openandroid/components/AppBrowserListFrag.java,open-android
getInstalledApplications,projectall/HuaXiaApp/app/src/main/java/com/framwork/Utils/AntiHijackingUtil.java,projectall
getInstalledApplications,pgapp/plugins/com.phonegap.plugins.barcodescanner/src/android/LibraryProject/src/com/google/zxing/client/android/share/LoadPackagesAsyncTask.java,pgapp
getInstalledPackages,cocos-quick-cpp/publibs/cocos2dx/plugin/plugins/alipay/proj.android/src/org/cocos2dx/plugin/MobileSecurePayHelper.java,cocos-quick-cpp
getInstalledApplications,12hoursandroid/app/src/main/java/com/tajchert/hours/ui/ActivityWidgetSettings.java,12hoursandroid
getInstalledApplications,12hoursandroid/app/src/main/java/com/tajchert/hours/ui/AppArrayAdapter.java,12hoursandroid
getInstalledApplications,airpush-detector/src/com/brosmike/airpushdetector/Detector.java,airpush-detector
getInstalledPackages,simplepackageinfo/app/src/main/java/com/nfllab/android/simplepackageinfo/PackageListActivity.java,simplepackageinfo
getInstalledPackages,lydia/Autosense/Autosense/src/main/java/com/autosenseapp/buttons/appButtons/AppLaunchButton.java,lydia
getInstalledPackages,lydia/Autosense/Autosense/src/main/java/com/autosenseapp/fragments/LauncherFragment.java,lydia
getInstalledApplications,historycleanerpro/HistoryCleaner/app/src/main/java/com/ayros/historycleaner/cleaning/items/_System_Cache.java,historycleanerpro
getInstalledPackages,historycleanerpro/HistoryCleaner/app/src/main/java/com/ayros/historycleaner/helpers/Helper.java,historycleanerpro
getInstalledApplications,123qrreader/plugins/phonegap-plugin-barcodescanner/src/android/LibraryProject/src/com/google/zxing/client/android/share/LoadPackagesAsyncTask.java,123qrreader
getInstalledPackages,xposedapplocale/app/src/main/java/com/zhangfx/xposed/applocale/MainActivity.java,xposedapplocale
getInstalledApplications,android-cache-cleaner/CacheCleaner/src/main/java/com/frozendevs/cache/cleaner/model/CleanerService.java,android-cache-cleaner
getInstalledApplications,newtifry/android/newtifry/src/com/newtifry/android/Newtifry.java,newtifry
getInstalledApplications,android-advancedwebview/Source/library/src/main/java/im/delight/android/webview/AdvancedWebView.java,android-advancedwebview
getInstalledApplications,vtmobile/app/src/main/java/com/bulbasauro/misc/AdvancedWebView.java,vtmobile
getInstalledPackages,yuzubrowser/legacy/src/main/java/jp/hazuki/yuzubrowser/legacy/utils/appinfo/AppListTask.java,yuzubrowser
getInstalledApplications,appinspector/src/bg/projectoria/appinspector/AppsListFragment.java,appinspector
getInstalledApplications,vpn-toggle/app/src/main/java/com/codingbad/vpntoggle/fragment/ApplicationsListFragment.java,vpn-toggle
getInstalledApplications,my-pkgs/app/src/main/java/com/nagopy/android/mypkgs/model/loader/ApplicationLoader.java,my-pkgs
getInstalledApplications,my-pkgs/app/src/main/java/com/nagopy/android/mypkgs/util/Logic.java,my-pkgs
getInstalledPackages,apkextractor/src/axp/tool/apkextractor/MainActivity.java,apkextractor
getInstalledPackages,pebblenotificationcenter-android/app/src/main/java/com/matejdro/pebblenotificationcenter/ui/AppListFragment.java,pebblenotificationcenter-android
getInstalledPackages,pebblenotificationcenter-android/app/src/main/java/com/matejdro/pebblenotificationcenter/tasker/TaskerAppListActivity.java,pebblenotificationcenter-android
getInstalledPackages,contentblocker/adguard_cb/src/main/java/com/adguard/android/contentblocker/commons/BrowserUtils.java,contentblocker
getInstalledPackages,pingpongcocos2dx/cocos2d/plugin/plugins/alipay/proj.android/src/org/cocos2dx/plugin/MobileSecurePayHelper.java,pingpongcocos2dx
getInstalledPackages,keyblocker/app/src/main/java/tool/xfy9326/keyblocker/activity/SettingsActivity.java,keyblocker
getInstalledPackages,wearvibrationcenter/mobile/src/main/java/com/matejdro/wearvibrationcenter/ui/AppPickerFragment.java,wearvibrationcenter
getInstalledPackages,android-proxy/proxy-settings/src/main/java/com/lechucksoftware/proxy/proxysettings/feedbackutils/PackagesUtils.java,android-proxy
getInstalledPackages,reshadow/src/main/java/com/biganiseed/reindeer/Tools.java,reshadow
getInstalledApplications,foxit/android/src/com/foxyourprivacy/f0x1t/activities/Analysis.java,foxit
getInstalledApplications,foxit/android/src/com/foxyourprivacy/f0x1t/fragments/AppListFragment.java,foxit
getInstalledApplications,kk-android-reinstall-apk/src/jp/ne/sakura/kkkon/android/reinstallapk/MainActivity.java,kk-android-reinstall-apk
getInstalledApplications,slidingmenuusage/actionbarsherlock-samples/fragments/src/com/actionbarsherlock/sample/fragments/LoaderCustomSupport.java,slidingmenuusage
getInstalledPackages,wificallingcontrols/locale-api/src/com/twofortyfouram/locale/PackageUtilities.java,wificallingcontrols
getInstalledApplications,wificallingcontrols/App/src/main/java/com/ajhodges/wificallingcontrols/ipphone/WifiCallingManager.java,wificallingcontrols
getInstalledPackages,otgsubs/substratum-packager/src/main/java/com/pddstudio/substratum/packager/utils/ApkHelper.java,otgsubs
getInstalledApplications,dashclock-warning/src/main/java/com/mridang/warning/WarningActivity.java,dashclock-warning
