App Name,APK,Found
Stack Ball - Blast through platforms,com.azurgames.stackball,False
Clean Road,com.clean.road,False
Pinatamasters,com.playgendary.pinatamasters,False
Kick the Buddy: Forever,com.playgendary.ktb2,False
Tiles Hop: EDM Rush!,com.amanotes.beathopper,True
Crowd City,io.voodoo.crowdcity,True
Draw it,com.kwalee.drawit,True
Run Race 3D,com.mgc.runnergame,False
Dot n Beat - Test your hand speed,com.dotnbeat.dancing.music.rhythm.handspeed,True
Color Bump 3D,com.colorup.game,True
Homescapes,com.playrix.homescapes,True
Twist Hit!,com.twist.hit,False
AMAZE!,com.crazylabs.amaze.game,False
House Paint,com.housepaint.game,False
Roller Splat!,com.neonplay.casualrollersplat2,True
Mini Block Craft,mini.block.craft.free.mc,True
Roblox,com.roblox.client,True
Pick Me Up™,com.custom.pickmeup,True
Words Story - Addictive Word Game,com.word.game.fun.puzzle.prison.escape.captain,True
UNO!™,com.matteljv.uno,True
Homo Evolution: Human Origins,com.azurinteractive.humanevolution,True
AFK Arena,com.lilithgame.hgame.gp,True
Paper.io 2,io.voodoo.paper2,True
Matchington Mansion,com.matchington.mansion,True
Paint Pop 3D,com.magjg.roundhit,True
Magic Tiles 3,com.youmusic.magictiles,True
Helix Jump,com.h8games.helixjump,True
Tomb of the Mask,com.playgendary.tom,True
Wordscapes,com.peoplefun.wordcross,True
Subway Surfers,com.kiloo.subwaysurf,True
Coin Master,com.moonactive.coinmaster,True
Township,com.playrix.township,True
PUBG MOBILE,com.tencent.ig,True
Hole.io,io.voodoo.holeio,True
Bouncez 3D Ball: EDM Solo!,com.amanotes.pamainfinitybounce,True
Happy Glass,com.game5mobile.lineandwater,True
Stickman Hook,com.mindy.grap1,True
Tank Stars,com.playgendary.tanks,True
Folding Blocks,com.popcore.foldingblocks,False
8 Ball Pool,com.miniclip.eightballpool,True
Cut It,com.stx.cutit,False
Happy Color™ – Color by Number,com.pixel.art.coloring.color.number,True
BitLife - Life Simulator,com.candywriter.bitlife,True
Coin Rush!,com.crazylabs.coin.rush,False
Partymasters - Fun Idle Game,com.playgendary.partymasters,True
Lucky Day - Win Real Money,com.luckyday.app,True
My Talking Tom 2,com.outfit7.mytalkingtom2,True
Snowball.io,com.geishatokyo.snowballio,True
Car Smasher,com.freegame.carsmasher,True
Toca Kitchen 2,com.tocaboca.tocakitchen2,True
Kick the Buddy,com.playgendary.kickthebuddy,True
Idle Painter,com.hwg.idlepainter,False
Word Stacks,com.peoplefun.wordstacks,True
Tricky Taps,com.crazylabs.tricky.traps.game,False
slither.io,air.com.hypah.io.slither,True
Snaker.io !,com.XTechStudios.snakeIO,False
Anger of stick 5 : zombie,jpark.AOS5,True
Granny,com.dvloper.granny,True
Idle Supermarket Tycoon - Tiny Shop Game,com.codigames.market.idle.tycoon,True
Ignis - Brain Teasing Puzzle Game,com.kabukgames.igniss,True
Toon Blast,net.peakgames.toonblast,True
Rope Frog Ninja Hero - Strange Gangster Vegas,com.assassingames.ninjafrogrope,True
Sniper 3D Gun Shooter: Free Elite Shooting Games,com.fungames.sniper3d,True
Gardenscapes,com.playrix.gardenscapes,True
Drive and Park,com.parking.game,True
Brawl Stars,com.supercell.brawlstars,True
Quizdom – Play Trivia to Win Real Money!,com.freepuzzlegames.logoguessing.quiz,True
Tag with Ryan,com.WildWorks.RyansTag,True
Gacha Life,air.com.lunime.gachalife,True
Color Road,com.bigframes.color_road,True
Basketball Battle,com.doubletapsoftware.basketballbattle,True
Grass Cut,com.fullfat.bw,True
Lords Mobile: Battle of the Empires - Strategy RPG,com.igg.android.lordsmobile,True
Flippy Knife,com.BeresnevGames.Knife,True
Pokémon GO,com.nianticlabs.pokemongo,True
RAID: Shadow Legends,com.plarium.raidlegends,True
Merge Plane - Click & Idle Tycoon,com.brokenreality.planemerger.android,True
Idle Miner Tycoon,com.fluffyfairygames.idleminertycoon,True
Piano Tiles 2™,com.cmplay.tiles2,True
Trivia Crack,com.etermax.preguntados.lite,True
Rise Up,com.riseup.game,True
Mr. Go Home - Fun & Clever Brain Teaser Game!,com.app.mrgohome,False
Candy Crush Saga,com.king.candycrushsaga,True
The Big Capitalist 3,com.brokenreality.bigcapitalist3.android,True
Garena Free Fire,com.dts.freefireth,True
Bowmasters,com.miniclip.bowmasters,True
Geometry Dash Lite,com.robtopx.geometryjumplite,True
Candy Crush Friends Saga,com.king.candycrush4,True
Dream Piano - Music Game,com.eyu.piano,True
Hungry Shark World,com.ubisoft.hungrysharkworld,True
Super Bino Go - New Games 2019,com.superbinogo.jungleboyadventure,True
Galaxy Attack: Alien Shooter,com.alien.shooter.galaxy.attack,True
Hooked Inc: Fisher Tycoon,se.ace.fishinc,True
PAC-MAN,com.namcobandaigames.pacmantournaments,True
Ball Blast,com.nomonkeys.ballblast,True
Friday the 13th: Killer Puzzle,com.bluewizard.f13puzzle,True
Cash Frenzy Casino,slots.pcg.casino.games.free.android,True
Trivia Crack 2,com.etermax.trivia.preguntados2,True
Dancing Road: Colour Ball Run!,com.amanotes.pamadancingroad,True
Clash Royale,com.supercell.clashroyale,True
Angry Birds 2,com.rovio.baba,True
Run Sausage Run!,com.crazylabs.sausage.run,True
Fruit Ninja®,com.halfbrick.fruitninjafree,True
Find The Differences - The Detective,com.puzzles.game.halloweeen.one,True
Tap Tap Music-Pop Songs,com.music.tap.tap.tile,True
Scream Go Hero,com.ketchapp.screamhero,True
NBA LIVE Mobile Basketball,com.ea.gp.nbamobile,True
Temple Run 2,com.imangi.templerun2,True
YAHTZEE® With Buddies Dice Game,com.scopely.yux,True
Flip Trickster - Parkour Simulator,com.revolverolver.fliptrickster,True
DIY Fashion Star - Design Hacks Clothing Game,com.cocoplay.diy.fashion,True
Block Craft 3D: Building Simulator Games For Free,com.fungames.blockcraft,True
Golf Rival,com.sports.real.golf.rival.online,True
Episode - Choose Your Story,com.episodeinteractive.android.catalog,True
Design Home,com.crowdstar.covetHome,True
Polysphere,com.playgendary.polyspherecoolgame,True
Drifty Race,com.ty.driftycar,False
Words With Friends 2 – Free Word Games & Puzzles,com.zynga.words3,True
My Talking Angela,com.outfit7.mytalkingangelafree,True
My Home - Design Dreams,com.spacegame.homedesign,True
Minion Rush: Despicable Me Official Game,com.gameloft.android.ANMP.GloftDMHM,True
Merge Dragons!,com.gramgames.mergedragons,True
Guess the Logo: Multiple Choice Quiz,com.taplane.logoquizm,True
Fire Balls 3D,com.NikSanTech.FireDots3D,True
Solitaire,com.smilerlee.klondike,True
Jigsaw Puzzles - Puzzle Game,com.easybrain.jigsaw.puzzles,False
Board Kings™️,com.jellybtn.boardkings,True
Battle Royale: FPS Shooter,com.fpsshooter.battleroyale,True
Best Fiends - Free Puzzle Game,com.Seriously.BestFiends,True
Plants vs. Zombies FREE,com.ea.game.pvzfree_row,True
Choices: Stories You Play,com.pixelberrystudios.choices,True
Miraculous Ladybug & Cat Noir - The Official Game,com.crazylabs.lady.bug,True
Learn to Draw Glow Cartoon,com.colorjoy.Learn.to.draw.glow.cartoon,True
Prodigy Math Game,com.prodigygame.prodigy,True
Will Hero,com.zplay.willhero,True
Bricks n Balls,com.cmplay.bricksnballs,True
Extreme Car Driving Simulator,com.aim.racing,True
Unnie doll,com.percent.mybest3,True
Super Mario Run,com.nintendo.zara,True
Hill Climb Racing 2,com.fingersoft.hcr2,True
Love Balls,com.supertapx.lovedots,True
Wheel of Fortune: Free Play,com.scopely.wheeloffortune,True
Baseball Boy!,com.itchmedia.ta3,True
World of Peppa Pig,com.peppapig.worldofpeppapig_g,False
Sonic Dash,com.sega.sonicdash,True
Hungry Shark Evolution,com.fgol.HungrySharkEvolution,True
Rolling Sky,com.turbochilli.rollingsky,True
Clash of Clans,com.supercell.clashofclans,True
Block! Hexa Puzzle™,com.bitmango.go.blockhexapuzzle,True
Zombie Tsunami,net.mobigame.zombietsunami,True
Flow Free,com.bigduckgames.flow,True
Talking Tom Gold Run,com.outfit7.talkingtomgoldrun,True
Mr Bow,com.zplay.Mrbow,True
Antistress - relaxation toys,com.JindoBlu.Antistress,True
Word Cookies™,com.bitmango.go.wordcookies,True
Cooking Fever,com.nordcurrent.canteenhd,True
The Sims™ Mobile,com.ea.gp.simsmobile,True
Marble Race!,com.brian.marblerace,True
Hero Wars - Men’s Choice Epic Fantasy RPG,com.nexters.herowars,True
My Story: Choose Your Own Path,org.nanobit.mystory,True
Pixel Art: Color by Number,com.europosit.pixelcoloring,True
Dumb Ways to Die Original,com.popreach.dumbways,True
Mafia City,com.yottagames.mafiawar,True
Ball Mayhem!,com.clement.ballmayhem,True
My Talking Tom,com.outfit7.mytalkingtomfree,True
Game of Thrones: Conquest™,com.wb.goog.got.conquest,True
Sushi Bar,com.gpp.sushibar,True
Metal Slug Infinity : Idle Game,com.ekkorr.msf,False
Monster Legends,es.socialpoint.MonsterLegends,True
Line Puzzle: Pipe Art,com.bitmango.go.linepuzzlepipeart,True
NBA 2K Mobile Basketball,com.catdaddy.nba2km,False
Tap Color    Color by Number,com.pixel.art.coloring.by.number,True
Word Swipe,com.wordgame.puzzle.block.crush,True
Sausage Flip,com.sausageflip.game,True
Creative Destruction,com.titan.cd.gb,False
Fishdom,com.playrix.fishdomdd.gplay,True
PewDiePie's Tuber Simulator,com.outerminds.tubular,True
Amazing Fishing,com.machsystem.gawii,True
Dragon City,es.socialpoint.DragonCity,True
Find The Differences - Her Secret,com.puzzles.game.fd.two,True
Love Poly - New puzzle game,com.love.poly.puzzle.game,True
Soul Destiny,com.eyougame.mysh.en,False
Spark City,com.walmart.sparkCity,False
Infinite Word Search Puzzles,com.randomlogicgames.wordsearch,True
Temple Run,com.imangi.templerun,True
City Fighter vs Street Gang,com.soneraltincit.cityfightvsstreetgang,True
Pou,me.pou.app,True
TETRIS,com.ea.game.tetris2011_na,True
POP! Slots - Free Vegas Casino Slot Machine Games,com.playstudios.popslots,True
Monster High™ Beauty Shop: Fangtastic Fashion Game,com.crazylabs.monster.high,True
Disney Magic Kingdoms: Build Your Own Magical Park,com.gameloft.android.ANMP.GloftDYHM,True
Pooking - Billiards City,com.billiards.city.pool.nation.club,True
Crush Soft Things,com.hypermania.crush.soft.things,False
LEGO® Juniors Create & Cruise,com.lego.bricksmore,True
Hello Kitty Nail Salon,com.budgestudios.HelloKittyNailSalon,True
American Jail Break - Block Strike Survival Games,com.timuzsolutions.prisonbreaksurvivalgames,True
Dancing Line,com.cmplay.dancingline,True
Mahjong,com.fenghenda.mahjong,True
Sudoku.com,com.easybrain.sudoku.android,True
Lemmings: The Official Game,com.sadpuppy.lemmings,True
PBS KIDS Games,org.pbskids.gamesapp,True
Hill Climb Racing,com.fingersoft.hillclimb,True
Survival on Raft: Ocean Nomad - Simulator,ocean.nomad.survival.simulator,True
Toy Blast,net.peakgames.amy,True
Mini Golf King - Multiplayer Game,com.pnixgames.minigolfking,True
"Hotel Transylvania Adventures - Run, Jump, Build!",com.crazylabs.hotel.transylvania.adventure,True
Stack Fall,com.Stellar.StackFall,False
Dominoes,com.LoopGames.Domino,True
Age of Z,com.camelgames.aoz,True
Crossy Road,com.yodo1.crossyroad,True
Shadow Fight 3,com.nekki.shadowfight3,True
Spy Ninja Network - Chad & Vy,com.bbtv.cwc,True
Guns of Glory,com.diandian.gog,True
Block Puzzle Jewel,com.differencetenderwhite.skirt,True
Tycoon Casino™: Free Vegas Jackpot Slots,com.tw.tycoon.casino,True
CodyCross: Crossword Puzzles,com.fanatee.cody,True
Bike Race Free - Top Motorcycle Racing Games,com.topfreegames.bikeracefreeworld,True
Last Shelter: Survival,com.more.dayzsurvival.gp,True
Harry Potter: Hogwarts Mystery,com.tinyco.potter,True
Bubble Pop! Puzzle Game Legend,com.bitmango.go.bubblepop,True
Golf Clash,com.playdemic.golf.android,True
Word Cross - Word Cheese,com.playzeit.wordcheese,True
My Baby Unicorn - Virtual Pony Pet Care & Dress Up,com.tutotoons.app.mybabyunicorn.free,True
Spill It!,com.custom.spillit,True
Shooting World - Gun Fire,com.bello.shootingworld,True
Bio Blast - Infinity Battle: Shoot virus!,com.ihippogame.bioblast,False
Color Switch,com.colorswitch.switch2,True
Golf Battle,games.onebutton.golfbattle,True
Reversi,com.fgmt.reversi,True
MLB Tap Sports Baseball 2019,com.glu.baseball19,False
MaskGun Multiplayer FPS - Free Shooting Game,com.junesoftware.maskgun,True
Gun Fu: Stickman 2,com.dobsoftstudios.gunfustickman2,True
Basketball Stars,com.miniclip.basketballstars,True
Drag n Merge: Block Puzzle,com.metajoy.puzzlegame.dragnmerge,True
Galaxy Force - Falcon Squad,invaders.os.galaxy.space.shooter.attack.classic,True
Angry Birds Dream Blast,com.rovio.dream,True
MARVEL Contest of Champions,com.kabam.marvelbattle,True
Piano Solo - Magic Dream tiles game 4,com.amanotes.classicalpiano,True
Snake VS Block,com.bentostudio.ballsvsblocks,True
Light-It Up,com.crazylabs.light.it.up,True
Solitaire Classic,com.tripledot.solitaire,True
Castle Clash: Heroes of the Empire US,com.igg.castleclash,True
Girls X Battle 2,com.carolgames.moemoegirls,True
Gymnastics Superstar - Spin your way to gold!,com.cocoplay.gymnastic.star,True
Gun Idle,com.flexi.shoot,True
Street Racing 3D,com.combineinc.streetracing.driftthreeD,True
Vegas Crime Simulator,com.mgc.miami.crime.simulator.two,True
Save Cat,com.physics.sim.game.savecats,True
CSR Racing 2,com.naturalmotion.customstreetracer2,True
LifeAfter,com.netease.mrzhna,False
Geometry Dash SubZero,com.robtopx.geometrydashsubzero,True
World War Heroes: WW2 Shooter,com.gamedevltd.wwh,True
Idle Heroes,com.droidhang.ad,True
Bee Factory,com.gpp.beefactory,True
Slotomania™ Slots Casino: Vegas Slot Machine Games,air.com.playtika.slotomania,True
Children's doctor : dentist.,com.YovoGames.dentist,True
Clawee - A real claw machine,com.gigantic.clawee,False
Magic Jigsaw Puzzles,com.bandagames.mpuzzle.gp,True
Woody™ Puzzle,game.puzzle.woodypuzzle,True
Number Clash,com.noahcube.number,True
Last Day on Earth: Survival,zombie.survival.craft.z,True
Chuzzle 2,com.raptisoft.Chuzzle2,True
RealmCraft with Skins Export to Minecraft,com.tellurionmobile.realmcraft,True
Word Search,com.wordloco.wordchallenge,True
Smash Hit,com.mediocre.smashhit,True
Stick Shadow: War Fight,com.darkarrow.stickfighter.saiyan,True
LEGO® DC Mighty Micros,com.lego.superheroes.dccomicsmightymicros,True
